log.prior	log.likelihood	log.likelihood.test.set
-1.505146267955346411e+04 -1.614340925739779777e+04 -2.595137674585254445e+03
-1.505895607761415158e+04 -1.614303176888035159e+04 -2.593434913209217029e+03
-1.505863592720655288e+04 -1.613626408136668033e+04 -2.596812101460790927e+03
-1.506980147116225999e+04 -1.613251184824183292e+04 -2.606227016555413684e+03
-1.507958230567055762e+04 -1.614575120013542437e+04 -2.610641069557348146e+03
-1.507990451780528383e+04 -1.614856939030294961e+04 -2.610061502122154252e+03
-1.508153156889860111e+04 -1.613495210302220949e+04 -2.605661159960511668e+03
-1.507922478739979670e+04 -1.612976096696259447e+04 -2.605507332220929584e+03
-1.506234338321982614e+04 -1.613691335649698885e+04 -2.607165345309490476e+03
-1.508408705659443331e+04 -1.613582347134951488e+04 -2.598528265508822187e+03
-1.506187714915113975e+04 -1.613230611378232061e+04 -2.600718643174442150e+03
-1.505931410840378703e+04 -1.613608345448850014e+04 -2.608118335028084402e+03
-1.506644994999321352e+04 -1.614417383977353529e+04 -2.601422899971639708e+03
-1.507293703171932248e+04 -1.613392521230269813e+04 -2.599024707001702154e+03
-1.505803794626902709e+04 -1.613389024087878715e+04 -2.605035972026317722e+03
-1.504060393244364241e+04 -1.614080932504474549e+04 -2.605610059433506194e+03
-1.502080571110547680e+04 -1.614144429358810885e+04 -2.608514398889877612e+03
-1.501194708885182627e+04 -1.614144069768531335e+04 -2.609630847677457041e+03
-1.499130190695744750e+04 -1.614665137674750076e+04 -2.609817654887205663e+03
-1.499023342890964705e+04 -1.615672148703698804e+04 -2.612920195661324669e+03
-1.498074817384815469e+04 -1.615209612640015621e+04 -2.611022967324936417e+03
-1.499193241759986995e+04 -1.614534805639032675e+04 -2.611023337656910826e+03
-1.502480624993842684e+04 -1.614062943833652207e+04 -2.613254141965301642e+03
-1.501660246985146478e+04 -1.614522900190576001e+04 -2.612167679054430209e+03
-1.502625857271290079e+04 -1.614993697441672339e+04 -2.612355734749655767e+03
-1.504148550464459004e+04 -1.614184577444290335e+04 -2.611516564395109981e+03
-1.504694604426622209e+04 -1.614633324381455532e+04 -2.615369584397034032e+03
-1.504572738716118329e+04 -1.613647939380108437e+04 -2.610694113206335260e+03
-1.502678923809399566e+04 -1.614398848048780201e+04 -2.613866487730182143e+03
-1.501955716133999704e+04 -1.614662199229470025e+04 -2.618467816155754917e+03
-1.506620007254133088e+04 -1.613407162578832140e+04 -2.611197452253311440e+03
-1.506540582804842052e+04 -1.614962987720833553e+04 -2.611812965660893497e+03
-1.508076914279994526e+04 -1.614461413055375306e+04 -2.613805888532474000e+03
-1.507848943804373266e+04 -1.614368080638966785e+04 -2.614017215561992543e+03
-1.507506151743941882e+04 -1.614510539757204060e+04 -2.612762498868295097e+03
-1.509030910452275930e+04 -1.613474885932850520e+04 -2.614690302665055697e+03
-1.508914787815684394e+04 -1.613765646073312018e+04 -2.612472523340411954e+03
-1.509385240040731696e+04 -1.614063223631576875e+04 -2.613881067487566725e+03
-1.506556986661091469e+04 -1.615182477272557480e+04 -2.615587198195357814e+03
-1.508113935821281484e+04 -1.614631088882838048e+04 -2.616973951602018587e+03
-1.510647917386016707e+04 -1.614272212889022558e+04 -2.611526695173873122e+03
-1.509650230702816407e+04 -1.614433647611874403e+04 -2.613048774314634102e+03
-1.510801159047405054e+04 -1.614809741234377725e+04 -2.613819534448454306e+03
-1.511161523058873536e+04 -1.614145084682413835e+04 -2.612911738348940617e+03
-1.509669108501513074e+04 -1.614889356775146371e+04 -2.615117427323343236e+03
-1.508388172832652708e+04 -1.615448375838463835e+04 -2.613551350926166833e+03
