time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
9.138417443385174010e+01 1.032751796507121185e+02 9.037763948088020527e+01 1.088565846542862943e+02 9.686219918433206999e+01 1.054516851088397544e+02 9.760666076351209597e+01 9.358928905376355090e+01 8.865799181019492892e+01 9.158430025331739444e+01
9.642340345573339278e+01 1.142478623936181350e+02 1.080744340494166948e+02 9.126839247388920739e+01 9.128504617173908287e+01 9.732244852989998662e+01 9.597980282533944774e+01 9.720396646558117482e+01 7.517927086987563712e+01 1.179870039479327630e+02
9.808835479334950946e+01 8.696824206889536413e+01 1.063291219336385325e+02 1.117328907240567162e+02 9.104574280764992977e+01 1.010123489792870117e+02 1.013705485605232184e+02 9.830925902972165886e+01 8.971446577960482216e+01 1.236907307275880754e+02
9.886926796484225122e+01 9.426126923233005073e+01 1.048894303022651968e+02 1.108889868846975588e+02 9.887553528708157558e+01 9.733297982653820668e+01 9.488980121766593356e+01 1.001083425705988361e+02 9.744734848198010013e+01 9.157902395979098742e+01
8.902809003647361408e+01 1.079729794023414087e+02 1.070609390964120564e+02 1.114598066039858821e+02 9.775641832718116575e+01 9.571818453411624716e+01 9.800038212384602332e+01 9.698940791888347235e+01 9.794423400329040419e+01 1.021039581548879198e+02
1.023292764176944019e+02 8.866045922052573758e+01 1.023192906208466724e+02 1.150581516414696353e+02 8.925896070852024877e+01 9.258305434032654091e+01 9.790266688075800516e+01 9.921260993596855826e+01 1.087938412352488058e+02 1.065361256312639568e+02
1.007298567333969714e+02 1.073893564205259139e+02 9.667947846175253801e+01 9.799110799246508918e+01 9.232839073367284755e+01 9.767133601908182072e+01 1.036818374005608803e+02 9.786373549936843119e+01 1.002063864046100718e+02 1.098333733298043740e+02
9.866055615156847125e+01 1.097079801199353142e+02 8.887203531174803572e+01 1.231874975341312393e+02 8.214471676439546854e+01 9.872020164530253794e+01 1.145496292464380019e+02 9.916871067645985249e+01 9.673205342427709752e+01 9.237947411174829426e+01
8.489295316472141906e+01 9.474791984337342399e+01 8.327725271403441809e+01 9.936032465811385350e+01 1.012965689552119954e+02 9.469613286978837152e+01 9.491241886285467899e+01 1.018422482192424781e+02 9.603838232904634253e+01 1.018209040998706030e+02
9.192906161231530859e+01 8.921902509610359289e+01 1.121397414153021543e+02 1.054700479444778125e+02 9.352825142802916503e+01 1.016655782074919614e+02 1.019103763762610413e+02 8.432930152116810518e+01 9.548217517085222994e+01 1.003449142413425363e+02
9.623111895042553954e+01 9.693258075590185285e+01 8.952215764060778724e+01 9.677375949608241967e+01 1.069154154493841133e+02 9.484026870999431935e+01 1.040640669075778391e+02 8.842909842840914791e+01 1.175912822385584491e+02 9.761144323310057302e+01
8.983833179448373585e+01 9.899360195600745271e+01 9.762920679651205091e+01 1.027553778642862738e+02 1.102701628141178105e+02 1.070210138930333130e+02 1.005124147731273325e+02 9.699282232896283062e+01 1.220489486710136759e+02 8.780595094336533180e+01
9.709367123951874134e+01 1.032650916617088654e+02 1.057466418092142817e+02 8.852048987927376800e+01 9.215456901585143612e+01 1.037141216439801497e+02 9.977207969714118008e+01 9.236369884710468625e+01 1.100534213292037578e+02 1.201260756847827054e+02
